category,text,predicted_category_llama3,predicted_category_llama3:70b,predicted_category_mixtral,predicted_category_gpt-3.5-turbo,correct_category
politics,nhs waiting time target is cut hospital waiting times for patients in wales are to be cut  but not to the same extent as those in england.  welsh health minister jane hutt said no patient would wait more than 12 months for an outpatient appointment by march 2006  against a current target of 18 months. but she said the target for an inpatient appointment would remain at 12 months for march 2006. the announcement came as new monthly waiting figures showed a drop. this current inpatient target was set when the assembly government extended its second offer guarantee scheme  which gives patients the option of having their treatment outside wales.  details about funding to resource the new targets are expected in the new year. in england  the current target for inpatients - seeing a consultant to having an operation - is six months. dr richard lewis  welsh secretary of the british medical association (bma)  welcomed the new targets  to make further and faster progress on waiting lists .  however  much remains to be done on waiting lists and waiting times because wales still lags a long way behind england   he said.  capacity must be built into the system with sustained investment to ensure that welsh patients don t receive a worse service than patients over the border.  health analyst tony beddow  from the welsh institute for health and social care  called the new targets  reasonably impressive .  on wednesday  ms hutt also announced £264m for health services will be spent reducing waiting times  improving key areas and modernising staff pay structures in wales.  ms hutt said major achievements had been made in cutting  unacceptably long waits for treatment over the past year .  we are turning the corner on long waits in wales. now we need to see those reductions in long waiters being improved again   she said. she added the targets intended to ensure no-one waits more than a year for treatment or to see a consultant.  but let us not forget two thirds of those waiting for treatment now are waiting less than six months  and these targets affect the small minority of patients in wales that are waiting far too long.  rhodri glyn thomas  plaid cymru health spokesman said:  it s exactly the same target she set in 1999  with the qualification that it s dependent on a second offer. it s a failed target  from a failed minister..with a failed policy.  for the welsh liberal democrats  kirsty williams called the new target  hugely unambitious .  it leaves patients in wales still waiting two years before they re treated.  conservative health spokesman jonathan morgan said:  we re spending more money but waiting lists have gone through the roof.  the audit commission has said that the money is not being spent efficiently or effectively  and that s quite a criticism.  meanwhile  the latest monthly waiting list figures showed the total number of people waiting more than 18 months as an inpatient in wales has fallen by 9.8%. statistics to the end of november showed a decline since october from 785 to 708. the number waiting over 12 months also fell from 7 613 to 6 630  or 12.9%. ms hutt said they were  excellent figures . there are 305 775 people on a waiting list of some kind  down from 311 764 last month.,politics,politics,politics,politics,politics
politics,crisis  ahead in social sciences  a national body designed to tackle skills shortages in key subjects should be set up  a committee of mps has said.  there was an  absolute crisis  in the recruitment of statisticians and other social science experts  the commons science and technology committee added.  major problems  are expected over the next 10 years as the social science workforce continues to age  it said. the committee was reporting on the work  strategy and spending plans of the economic social research council.  the council aims to promote and support strategic research for social science postgraduates and provide social scientists to meet the needs of the country. it also liaises with the government and industry over their social science needs. in its report on the council s work the committee said:  we are deeply concerned by the skills shortages afflicting  in particular  the qualitative branches of social sciences. this mirrored previous concerns the committee had expressed on shortages in the fields of maths and chemistry  it said.  it is hard to see how significant progress towards rectifying these shortages can be made through the deployment of economic and social research council s limited resources.  if the government is serious about addressing skills shortages in key subjects it needs to find a more effective mechanism to achieve this.  a national  strategic capabilities fund  to address shortages in key areas should be set up in response  the committee added.,politics,politics,politics,business,politics
tech,football manager scores big time for the past decade or so the virtual football fans among us will have become used to the annual helping of championship manager (cm). indeed  it seems like there has been a cm game for as many years as there have been pcs.  however  last year was the final time that developers sports interactive (si) and publishers eidos would work together. they decided to go their separate ways  and each kept a piece of the franchise. si kept the game s code and database  and eidos retained rights to the cm brand  and the look and feel of the game. so at the beginning of this year  fans faced a new situation. eidos announced the next cm game  with a new team to develop it from scratch  whilst si developed the existing code further to be released  with new publishers sega  under the name football manager. so what does this mean  well  football manager is the spiritual successor to the cm series  and it has been released earlier than expected. at this point cm5 looks like it will ship early next year. but given that football manager 2005 is by and large the game that everybody knows and loves  how does this new version shape up   a game like fm2005 could blind you with statistics. it has an obscene number of playable leagues  an obscene number of manageable teams and a really obscene number of players and staff from around the world in the database  with stats faithfully researched and compiled by a loyal army of fans. but that does not do justice to the game really. what we are talking about is the most realistic and satisfying football management game to ever grace the earth.  you begin by picking the nations and leagues you want to manage teams from  for instance england and scotland. that will give you a choice not just of the four main scottish leagues  but the english premiership all the way down to the conference north and south. of course you might be looking for european glory  or to get hold of abramovich s millions  in which case you can take control at chelsea  or even barcelona  real madrid  ac milan ... the list goes on a very long way. once in a team you will be told by the board what they expect of you. sometimes it is promotion  or a place in europe  sometimes it is consolidation or a brave relegation battle. it might even be a case of champions or else. obviously the expectations are linked to the team you choose  so choose wisely. then it is time to look at your squad  work out your tactics  seeing how much cash  if any  you have got to splash  having a look at the transfer market  sorting out the training schedule and making sure your backroom staff are up to it. then bring on the matches  which are once more available in the ever-improving top down 2d view. with the exception of the improved user interface on the surface  not much else seems to have changed.  however  there have been a lot of changes under the bonnet as well - things like the manager mind-games  which let you talk to the media about the opposition bosses. the match engine is also much improved  and it is more of a joy than ever to watch. in fact just about every area of the game has been tweaked  and it leads to an ever more immersive experience.  with a game that is so complex and so open-ended  there are of course a few glitches  but nowhere near the sorts of problems that have blighted previous releases. with so many calculations to perform the game can take some time to process in between matches  though there have been improvements in this area. and a sport like football  which is so high profile and unpredictable itself  can never be modelled quite to everybody s satisfaction. but this time around a great deal of hard work has been put in to ensure that any oddities that do crop up are cosmetic only  and do not affect gameplay. and if there are problems further down the line  sports interactive have indicated their usual willingness to support and develop the game as far as possible. in all there are many more tweaks and improvements. if you were a fan of the previous cm games  then fm2005 might make you forget there was anything else before it. if you are new to the genre but like the idea of trying to take margate into the premiership  spurs into europe  or even putting rangers back on the top of the tree  fm2005 could be the best purchase you ever made. just be warned that the family might not see you much at christmas.  football manager 2005 out now for the pc and the mac,sport,sport,sport,sport,sport
politics,uk will stand firm on eu rebate  britain s £3bn eu rebate is not up for renegotiation at next week s european council summit  jack straw said.  the foreign secretary told mps the rebate  secured by margaret thatcher in 1984  was  entirely justified . new european commission president jose manuel barroso has suggested the cash could be shared out among net contributors to the eu budget. mr straw acknowledged some countries in the newly enlarged 25 nation eu still had to  see the light  on the rebate.  but the foreign secretary told the commons foreign affairs committee:  our position is very clear: it is entirely justified and it is not for negotiation.  he added that he did not think there would be a political price to pay for the uk s stance - britain contributed more and received less than other eu states. the two-day european council summit in brussels begins on 16 december and is widely expected to mark the beginning of a lengthy negotiating period over the eu s budget for 2007-13. the wrangling could stretch into 2005  even 2006.  the uk  france  germany  austria  the netherlands and sweden want the eu budget to be capped at 1% of member states  combined national incomes - the commission wants it to be 1.26%. mr straw said the eu commission s proposal would mean a 35% hike in the budget.  i don t know of any national government thinking of increasing its budget by that amount   he added. the foreign secretary said he hoped the talks next week could produce a date in 2005 for the beginning of negotiations with turkey about possible eu membership although that there would be no prospect of a date for joining for some time.,politics,politics,politics,politics,politics
entertainment,greer attacks  bully  big brother germaine greer has criticised celebrity big brother s  bullying  of housemates after quitting the reality tv show.  she said  superior  bullying tactics  like making housemates cold and hungry  could encourage playground bullying. she also condemned the  complete irresponsibility  of adding brigitte nielsen s former mother-in-law jackie stallone to the house on monday. nielsen had panicked that if she reacted badly it could harm her access to her children  greer said. the feminist writer and broadcaster said big brother had behaved  like a child rather than a parent  by taunting contestant john mccririck after denying him a cola drink.  i thought it was actually demonstrating the role of taunting in the playground and there are so many children whose lives have actually been destroyed by taunting in the playground   greer said. she also said that her fellow housemates had publicity-seeking  agendas .   i had no idea who would be in here and it s wrong for me to present myself in the same context as they are.  media observers had been surprised by greer s initial decision to join the third celebrity version of the channel 4 reality tv show  given that she has written critical articles about the format in the past. as she packed her suitcase to leave the house she told fellow housemates:  i m leaving over specific issues  but best for everyone if i don t discuss them.  i have a problem with decisions  i make them fast and when i make them  i stick to them.  greer had earlier failed to persuade other contestants to stage a naked protest against big brother.  other celebrities to walk out of a reality show tv include sex pistol john lydon  former eastenders actress danniella westbrook and ex-e17 singer brian harvey who all left i m a celebrity... get me out of here. previous big brother housemates to leave before their time were sunita sharma and sandy cumming from the third series of the non-celebrity version of the show.  vote   was germaine greer right to leave celebrity big brother    yes  no   results are indicative and may not reflect public opinion  happy mondays dancer bez is now 2-1 favourite to win the show  followed by blazin  squad singer kenzie at 5-2 and actor jeremy edwards at 4-1. ladbrokes spokesman warren lush said that the series was still  wide open   adding that the last 24 hours had also seen a rush of bets on mccririck slashing his odds to 8-1. dj lisa i anson is the outsider with odds of 40-1  while jackie stallone  who joined the house on monday  is also one of the less popular housemates at 20-1. the first eviction of the series has now been postponed after greer s exit unexpectedly reduced the number of competitors. the eight remaining contestants are competing for a £50 000 prize  to be donated to the charity of their choice  if they survive a series of public votes. for every 50p vote cast by viewers by telephone or text during the programme s run  9p will go to a tsunami charity appeal.,entertainment,entertainment,sport,entertainment,entertainment
politics,pm apology over jailings tony blair has apologised to two families who suffered one of the uk s biggest miscarriages of justice.  the prime minister was commenting on the wrongful jailing of 11 people for ira bomb attacks on pubs in guildford and woolwich in 1974. mr blair said:  i am very sorry that they were subject to such an ordeal and injustice.  he made the apology to members of the conlon and maguire families in his private room at westminster. in a statement recorded for television  mr blair said the families deserved  to be completely and publicly exonerated .  the families had hoped the apology would be made during prime minister s questions in the house of commons. however  one of the so-called guildford four  gerry conlon - who was wrongly convicted of planting the bombs - said the families were delighted with the apology. he said mr blair had spoken with  such sincerity   adding:  he went beyond what we thought he would  he took time to listen to everyone.  you could see he was moved by what people were saying.  tony blair has healed rifts  he is helping to heal wounds. it s a day i never thought would come.  the move followed a huge campaign in ireland for a public apology after eleven people were wrongly convicted of making and planting the ira bombs which killed seven people. mr blair s official spokesman said no-one present at the meeting would  ever forget the strength of feeling of relief that the prime minister s statement brought to them .  most of those convicted were either members or friends of the two families. all were arrested because of a family connection to gerry conlon. mr conlon s father giuseppe was arrested when travelling to london from belfast to help his son. he died while serving his sentence. also arrested were anne maguire and members of her family. mrs maguire was the relative with whom giuseppe planned to stay in london  as well as two family friends. she said it was a  wonderful feeling  to have had the apology and that a weight had been lifted off her shoulders.   the people who were still doubting us should now believe that we were totally innocent   she said. they were all jailed for handling explosives  based on scientific evidence which was later entirely discredited. in october 1989 the court of appeal quashed the sentences of the guildford four  and in june 1991 it overturned the sentences on the maguire seven. mr conlon s case was highlighted in the oscar-nominated film in the name of the father  starring daniel day-lewis.,politics,politics,politics,politics,politics
politics,parties  plans for council tax anger at council tax rises spilled over into mass protests in 2003  when the average english bill rose 12.9%.  pensioners  protests spread - some marched  others simply refused to pay the increase. some  such as 83-year-old elizabeth winkfield  said they would rather go to jail. the audit commission found the whole local government finance system was  fundamentally flawed  and all three of the main parties have said the system has to change.  labour says it wants to retain the property-based tax but reform it to make it fairer and says there is scope for councils to become more efficient. they say they are already helping pensioners with council tax bills  with a £100 lump sum for the over-70s and last year the government capped some local councils  budgets to keep demands down. deputy prime minister john prescott has said the current system is not sustainable in the long term and said there would be  radical reform . the party says this year s increases will be the lowest in a decade. a report last year looked at increasing the number of council tax bands and other forms of local taxation  such as reformed business rates  although no decisions have been made. an independent inquiry into its findings  the lyons review  is due to report back at the end of 2005.  the tories have promised a reduction on bills for pensioners  who they say have been hardest hit by year-on-year increases in council tax. they say they can save £4bn on  government waste   of which £1.3bn could be used to cut pensioners  bills by an average of £340. it would not be means tested  say the tories  because that would create more bureaucracy and could discourage people from saving for their retirement. instead households where council tax payers are over 65 would get a rebate covering half their bill  up to a maximum of £500. the tories also say they are suspicious about any proposals to revalue homes - currently graded according to their value in 1991 - because they believe seven million of homes could move up a band.  the liberal democrats want to do away with the council tax altogether and switch to a local income tax of the kind seen in the usa  norway and switzerland. the rate would be set locally  but administered by the inland revenue which they say would save at least £300m. they say the council tax is the most unpopular and most unfair tax in britain  because it puts a  ceiling  on what the richest pay. the party says it would aim for a £5 000 tax-free personal allowance  or a £7 000 allowance for the over-65s. after that income would be taxed up to £100 000. the lib dems say their plan is fairer  more efficient  has already been tested abroad and offers more accountability.,politics,politics,politics,politics,politics
politics,lib dems unveil women s manifesto the liberal democrats are attempting to woo female voters with the launch of their manifesto for women.  charles kennedy is pledging a maternity income guarantee and a pension system based on years of residence rather than national insurance payments. he also thinks women will back plans to end university tuition fees and for free long-term care for the elderly. both labour and the conservatives have said they also plan to boost pensions and to improve childcare support. mr kennedy says he wants to deal with policy areas that disadvantage women.  two million pensioners in britain currently live below the government s own poverty line - two-thirds of whom are women   he said.  he says that pensions based on the number of years worked ignore the contribution women make caring for children. the lib dem s citizen s pension  based on length of residency not on national insurance contributions  would address that imbalance  mr kennedy argues. under the package  new mothers would be offered minimum guaranteed maternity pay of £170 a week for the first six months after the birth of their first child. mr kennedy also believes the party s plans to use the money saved from not introducing  illiberal  id cards to boost police numbers by 10 000 would appeal to women too. the policies are not new announcements  but the way they are structured as a package to appeal to women is.  mr kennedy also points to the fact that 40% of the party s candidates set to stand in winnable or target seats are women. party strategists claim that where women candidates replace men turnout rises by 4%. mr kennedy began the pitch for female support with an interview on bbc radio 4 s women s hour on monday. during the interview mr kennedy revealed that he planned to structure the party s general election campaign around the birth of his first child  which is expected in april. the baby and his wife sarah would be  priority number one  even if it arrived in the middle of the election campaign  he said.  party strategists believe winning over a significant proportion of women voters is key to electoral success. a party spokesman said it was courting female votes because they tended to vote more than men and are believed to be more considered and open-minded in deciding who they vote for. labour s deputy minister for women jacqui smith accused the lib dems of offering  false promises  to women and said their sums did not add up. she said:  these proposals would increase the costs to the public purse drastically year on year  and hard working families will pay dearly  through either increased taxes or reduced spending on public services . the labour party has committed itself to  universal  affordable and flexible  childcare for parents of all 3 to 14 year-olds  including childcare centred on schools to be available from 8am to 6pm. in september  trade and industry secretary patricia hewitt said she would like to see longer paid maternity leave  higher paternity pay and the extension of flexible working rights to carers  if labour won a third term. the conservatives are yet to unveil their manifesto plans for childcare but said in november they would increase maternity pay and pay the child tax credit in cash to parents to spend as they like  on a nanny  au pair or even a family member  such as a grandparent  acting as a carer. they were also consulting on making childcare costs tax deductible.,politics,politics,politics,politics,politics
entertainment,uk tv channel rapped for csi ad tv channel five has been criticised for sending  offensive  and  threatening  advertising material to viewers for a new show about murder scene scientists.  five mailed thousands of fake dossiers including photos of murder victims and an e-mail suggesting the recipient was being stalked by a serial killer. following complaints  the advertising standards authority contacted five to cease promotion of crime show csi:ny. five admitted it had sent out 55 000 promotion packs but had now stopped. the promotion material was sent in brown envelope of the type used by investigators in the series  a spin-off from the highly successful csi: crime scene investigation series  which also runs on five. the pack also features pictures of forensic evidence from a crime scene and a wanted poster  which did have a csi:ny logo printed in large at the bottom.  five said it had received 100 complaints but that it had been surprised at the reaction because it was  obvious this material is promoting a drama . a five spokesman said:  in light of the efforts we have made to make the nature of the contents so transparent we are surprised a very small minority of recipients have mistaken it as anything else.  everyone who was sent this promotion has expressed an interest in receiving details about this particular genre of programming on various websites.  we have also received emails and calls from recipients praising the originality and imagination of the campaign.,entertainment,entertainment,entertainment,entertainment,entertainment
tech,broadband in the uk gathers pace one person in the uk is joining the internet s fast lane every 10 seconds  according to bt.  the telecoms giant said the number of people on broadband via the telephone line had now surpassed four million. including those connected via cable  almost six million people have a fast  always-on connection. the boom has been fuelled by fierce competition and falling prices  as well as the greater availability of broadband over the phone line.  the take-up rate for broadband is accelerating at a terrific pace   said ben verwaayen  bt s chief executive.  we will be in a very strong position to hit our five million target by summer 2006 much earlier than we had previously expected.   the last million connections were made over the past four months  with thousands of people being added to the total every day of the week.  those signing up to broadband include those that get their service direct from bt or via the many companies that re-sell bt lines under their own name. part of the surge in people signing up was due to bt stretching the reach of adsl - the uk s most widely used way of getting broadband - beyond six kilometres. asymmetric digital subscriber line technology lets ordinary copper phone lines support high data speeds. the standard speed is 512kbps  though faster connections are available. according to bt  more than 95% of uk homes and businesses can receive broadband over the phone line. it aims to extend this figure to 99.4% by next summer. there are also an estimated 1.7 million cable broadband customers in the uk.,tech,tech,sport,tech,tech
